Surveillance data by health district - June 2002,,,,,,,,,,,,,,,Cases this month,,,,,,,Current rate1,,,####,,June 2002,
,,,,,,,,,,"Cases for June 2002, 2 and current rate 1,2 by health district 3,4",,,,,,,,,,,,,,,,,,
Disease,Northland,NW Auck,Central Auck,South Auck,Waikato,Tauranga,,Eastern BoP,Gisborne,Rotorua,Taupo,Taranaki,Ruapehu,,Hawkes Bay,Wanganui,,Manawatu,Wairarapa,Wellington,,Hutt,Nelson-Marl,West Coast,Canterbury,South Cant,Otago,Southland
AIDS3,0,,,0,0,0,,0,0,1,0,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0
,0,,,0,0.3,0.8,,0,0,1.6,0,0,0,,0,0,,0,0,4.9,,,0,0,0.5,0,0,0
Campylobacteriosis,31,164,151,110,69,25,,1,4,9,4,13,1,,9,4,,8,0,55,,26,8,7,47,21,34,23
,206.9,374.4,372.2,267.1,364.2,281.1,,171.2,191.2,263.6,361.8,326.7,126,,309.3,250,,219.5,264,457.2,,383,146.3,257.1,316.7,395.4,298,285.1
Cholera,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0
,0,0.5,0.3,0.3,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0
Cryptosporidiosis,0,2,1,0,0,1,,0,0,0,0,0,0,,1,0,,0,0,11,,4,2,0,5,0,0,2
,17.1,9.1,4.9,9.9,55.7,20.9,,14.3,9.1,34.1,53.9,18.4,14,,37.6,30.8,,32.6,18.3,24.8,,12.1,11.4,36.3,15.9,65.3,42.7,64.8
Dengue fever,0,0,2,1,1,0,,0,0,0,0,0,0,,0,0,,0,0,0,,3,0,0,0,0,0,0
,2.9,4.9,8.2,5.1,2.3,2.3,,2,0,1.6,12.7,1,0,,0,1.7,,4.1,0,2,,6.1,0.8,0,2.5,1.3,1.2,1.9
Gastroenteritis,0,9,7,4,0,0,,0,0,0,0,0,0,,0,1,,30,0,6,,1,0,0,81,1,0,3
,3.6,21.4,31.8,10.7,5.5,3.1,,8.2,63.7,18.6,34.9,22.3,0,,8.4,20.6,,34.7,20.9,30,,25,22.1,16.5,100.8,1.3,43.3,12
Giardiasis,2,9,24,11,17,5,,0,1,1,3,0,0,,13,5,,1,0,9,,9,1,1,9,0,6,2
,22.1,47,62.8,41.8,49.9,47.2,,22.4,66,35.7,47.6,16.5,21,,91.9,41.1,,30.6,31.4,53.2,,44,43.3,52.7,34.9,28.2,28.3,15.7
H. influenzae,0,1,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0
type b disease,0,0.2,0,0,0,0,,0,0,0,0,1,0,,1.4,0,,0,0,0.4,,0,0,0,0.5,0,0,0
Hepatitis A,1,1,3,0,0,0,,0,0,0,0,0,0,,1,0,,1,0,0,,0,1,0,0,0,0,0
,1.4,4,7.9,7.5,5.8,0,,0,4.6,1.6,3.2,0,0,,2.8,0,,0.7,2.6,2,,5.3,1.6,0,0.5,0,0,0.9
Hepatitis B,0,0,2,1,0,0,,0,1,0,0,0,0,,1,0,,0,0,0,,0,0,0,0,0,1,0
,0.7,1.2,3,1.1,1.9,2.3,,0,4.6,0,3.2,0,0,,2.8,0,,1.4,0,2,,0,1.6,0,2.2,0,1.8,0
Hepatitis C,0,0,0,0,0,2,,0,0,0,0,0,0,,1,0,,0,0,0,,0,0,0,0,2,0,0
,0.7,0.2,0.5,0.8,0.3,14.7,,2,0,7.8,9.5,0,0,,0.7,0,,0,0,3.5,,2.3,0,6.6,1.2,2.6,0.6,0.9
Hydatids disease,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0
,0.7,0.2,0,0,0,0,,0,2.3,0,0,0,0,,0,0,,0,0,0.4,,0,0,0,0.2,0,0,0
Lead absorption,0,0,0,0,2,0,,0,1,0,0,0,0,,0,0,,1,0,1,,1,0,0,0,0,1,0
Legionellosis5,3.6,1.2,2.2,0.5,5.2,3.1,,2,9.1,3.1,0,3.9,7,,1.4,1.7,,5.4,2.6,0.4,,0.8,2.5,0,3.5,9,7.8,2.8
,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,,0,1,0,4,0,0,0
,2.1,0.5,0.5,0.5,1.6,0,,0,0,0,6.3,0,0,,0.7,1.7,,0,2.6,1.2,,2.3,1.6,0,2.5,2.6,0.6,0
Leprosy,0,0,1,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0
,0,0,0.5,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0
Leptospirosis,0,0,0,0,1,1,,0,0,0,0,0,0,,8,0,,0,0,0,,0,0,0,0,1,0,0
,9.3,1.9,0,0.3,5.8,5.4,,2,15.9,1.6,0,1.9,14,,20.2,1.7,,6.8,2.6,0.8,,0,4.9,6.6,1.2,14.1,1.8,0.9
Listeriosis,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0
,0.7,0.5,0.5,0.3,0.3,1.5,,0,2.3,0,0,1,0,,0,0,,0,0,0.4,,0.8,0,0,0.5,1.3,1.2,0
Malaria,0,0,1,1,1,0,,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,1,0,0
,0.7,0.7,0.8,0.8,1.9,1.5,,0,0,3.1,3.2,1,14,,0.7,0,,7.5,0,0.4,,0.8,2.5,0,2.5,2.6,2.4,0
Measles,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,,0,1,0,0,0,1,0
,1.4,0.2,0.8,1.3,0.6,5.4,,0,4.6,0,0,1.9,0,,2.8,0,,0.7,0,2.4,,0,6.5,3.3,2.7,1.3,2.4,7.4
Meningococcal,4,8,8,19,2,4,,2,1,1,1,0,0,,6,1,,3,1,2,,0,0,1,3,0,4,2
disease6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25.7,10.5,19,30.6,19.4,20.9,,34.7,18.2,48.1,38.1,10.7,7,,18.8,8.6,,16.3,28.7,8.3,,13.7,4.9,3.3,5.7,5.1,35.5,11.1
Mumps,0,1,0,1,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,,0,1,0,1,0,1,1
,2.9,1.4,0.8,1.3,0.3,0.8,,4.1,0,1.6,0,0,0,,2.1,1.7,,0,0,1.6,,2.3,3.3,3.3,2,0,6,3.7
Paratyphoid,0,0,0,1,0,0,,0,0,0,0,0,0,,1,0,,0,0,0,,0,0,0,0,0,0,0
,0,0.9,1.4,1.3,0.6,0.8,,0,0,0,0,1,0,,1.4,0,,0,0,1.2,,0.8,0.8,0,0.2,1.3,0,0
Pertussis,0,3,2,2,6,0,,0,0,0,1,0,0,,1,2,,1,0,4,,2,6,18,14,24,0,5
,10.7,15.4,10.3,9.3,41.8,9.3,,2,6.8,4.7,9.5,6.8,21,,9.8,10.3,,7.5,5.2,26.8,,35.6,125,187.9,31.4,97.3,4.8,38.9
Rheumatic fever,0,0,0,0,0,1,,1,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0
,6.4,0.7,3.8,9.6,2.6,3.1,,8.2,4.6,0,3.2,1,7,,1.4,1.7,,0,2.6,0.4,,0,0,0,0.2,0,0,0
Rickettsial disease,0,0,1,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0
,0,1.2,0.3,0,0.3,0,,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0
Rubella,0,1,0,0,0,1,,0,0,0,0,0,0,,2,0,,0,0,0,,0,1,0,0,0,0,0
,0.7,0.5,0.3,0.5,0,0.8,,0,0,0,0,1,0,,9.8,0,,0,2.6,1.6,,0.8,2.5,3.3,1.5,0,0,0.9
Salmonellosis,4,8,8,8,13,1,,0,1,0,0,4,0,,2,1,,6,0,4,,2,2,0,12,3,5,7
,54.2,47.2,57.9,48.5,59,44.9,,63.2,66,65.1,92,60.1,35,,97.5,71.9,,58.4,73.2,67,,53.8,154.4,95.6,63.2,116.5,99.3,93.5
Shigellosis,0,1,3,1,0,0,,0,0,0,0,1,0,,0,0,,0,0,3,,0,0,0,1,0,0,0
,0.7,5.6,7.6,7.5,1,1.5,,0,0,3.1,3.2,3.9,0,,4.2,3.4,,0,0,1.6,,0.8,1.6,0,3,5.1,3,0.9
Tetanus,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0
,0,0,0,0,0,0,,0,0,1.6,0,0,0,,0,0,,0,0,0,,0,0,0,0,1.3,0,0
Tuberculosis,1,1,7,2,3,0,,0,0,0,1,0,0,,3,1,,0,0,1,,1,1,0,2,1,1,0
,11.4,7.7,22,16,6.5,8.5,,4.1,2.3,6.2,25.4,0,0,,11.1,8.6,,4.8,18.3,12.6,,12.9,3.3,0,5,7.7,3,2.8
Typhoid,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,1,,0,0,0,0,0,0,0
,0,1.4,1.9,2.4,0,0,,0,0,0,0,0,0,,0,0,,0.7,0,1.6,,0,0,0,0.2,0,0,0
VTEC / STEC,0,0,0,0,4,0,,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0
,1.4,0.9,1.9,0,5.8,2.3,,10.2,4.6,4.7,0,2.9,0,,0,1.7,,2,0,0.8,,0.8,0,0,3.2,0,3,2.8
Yersiniosis,0,6,6,4,1,2,,0,0,0,0,0,0,,0,0,,2,0,1,,0,1,0,3,0,3,2
,5.7,14.4,17.1,12.2,11.7,19.4,,8.2,13.7,12.4,22.2,5.8,14,,10.4,12,,10.9,5.2,11.8,,10.6,4.1,33,14.2,20.5,15,12
1 Current rate is based on the cumulative total for the 12 months up to and including June 2002,,,,,,,,,,,,,,,expressed as cases per 100 000,,,,,,,,,,,,,
2 These data are provisional,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 AIDS data is reported for the greater Auckland and Wellington areas, rather than by health district",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Further data are available from the local medical officer of health,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Surveillance data based on laboratory-reported cases only,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,These totals and rates are derived from the EpiSurv report date as oppoosed to the earliest available date used in the meningococcal disease section.,,,,,,,,,,,,,,,,,,,,,,,,,,,
