Surveillance data by District Health Board - June 2004,,,,,,,,,,,,,,Cases this month,,,,,,,,Current rate1,,June 2004,
,,,,,,,,"Cases for June 2004, 2 and current rate 1,2 by District Health Board 3,4",,,,,,,,,,,,,,,,,
Disease,Northland,Waitemata,Auckland,,Counties Manukau,Waikato,Lakes,Bay of Plenty,Tairawhiti,Taranaki,Hawke's Bay,Whanganui,MidCentral,,Hutt,,Capital and Coast,,Wairarapa,Nelson-Marlborough,West Coast,Canterbury,South Conterbury,Otago,Southland
AIDS3,0,,1,,,0,0,0,0,0,0,0,0,,0,,,,0,0,0,1,0,0,0
,0.7,,1.8,,,0.3,0,0.6,0,0,0.7,0,0,,1.1,,,,0,0,1.1,4.4,0,0.6,0
Campylobacteriosis,22,116,110,,91,68,16,22,6,14,26,7,15,,33,,70,,5,20,8,93,22,48,31
,215.5,390,395.1,,307.8,478.7,436.5,311,300.4,416.3,436.7,358.4,227.8,,494.5,,559.6,,358.6,249.8,323.8,404.8,432,338.5,317.4
Cryptosporidiosis,1,0,1,,1,4,0,0,0,0,0,0,2,,0,,0,,0,0,0,1,0,1,1
,14.3,4.7,3.5,,5.1,47.2,42.7,12.3,15.9,9.7,32,23.6,31,,5.3,,6.1,,26.2,15.5,33,15.9,87.2,32.2,29
Dengue fever,0,0,0,,0,2,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0
,0,0.2,0.3,,0.3,1.3,0,0.6,0,1,0,0,0,,0,,0.8,,0,0,0,0,0,0.6,1
Gastroenteritis,0,7,7,,3,9,0,1,0,0,0,0,30,,1,,5,,1,2,1,15,0,2,22
,5,20.5,25,,18.1,73.6,8.3,1.7,0,7.8,2.1,11,45.8,,25.8,,32.1,,13.1,9.8,19.8,50.3,161,41.6,103.5
Giardiasis,1,14,16,,14,20,6,4,1,0,9,2,2,,5,,5,,0,1,3,17,5,3,3
,23.5,39.1,59.8,,33.6,70.2,65.6,34.8,29.6,18.4,51.5,31.4,30.3,,47,,60.6,,18.3,40,59.5,36.3,20.8,26.9,21.3
H. influenzae,0,0,0,,0,0,0,0,0,0,0,0,0,,1,,0,,0,0,0,0,0,0,0
type b disease,1.4,0,0,,0.5,0,0,0.6,0,0,0.7,0,0,,0.8,,0,,0,0,0,0.2,0,0,0
Hepatitis A,0,1,0,,0,0,0,0,0,0,0,0,1,,0,,0,,0,0,1,0,0,0,0
,0,2.3,3.5,,4.8,0.6,2.1,0.6,4.6,0,0.7,1.6,0.6,,0,,2.8,,0,1.6,3.3,0.5,0,1.8,0
Hepatitis B,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,2,0,0,0
,1.4,2.1,1.4,,1.9,1.3,6.3,1.1,2.3,0,2.1,0,0,,0.8,,0.8,,0,0.8,0,0.9,1.9,1.2,0
Hepatitis C,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0
,0,1.2,1.1,,0.5,0,1,3.9,6.8,0,0.7,0,1.3,,0.8,,1.2,,10.5,0,9.9,1.2,0,0,1
Hydatids disease,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0
,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0
Lead absorption,0,1,0,,0,1,0,0,0,0,0,0,1,,0,,0,,0,0,0,1,0,1,2
,2.9,1.4,2.4,,0.3,2.8,2.1,0.6,4.6,1,3.5,4.7,5.2,,0,,3.3,,2.6,0.8,0,2.6,5.7,7.6,7.7
Legionellosis,0,0,1,,1,1,0,0,0,0,0,0,0,,0,,2,,0,0,0,0,0,0,0
,1.4,3.7,3.5,,3.7,1.3,0,2.8,2.3,1,0,0,0.6,,3,,4.1,,5.2,0.8,3.3,0.7,3.8,2.3,1
Leprosy,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0
,0,0.2,0.3,,0.3,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0
Leptospirosis,0,0,0,,0,2,0,0,0,0,2,0,1,,0,,0,,0,0,0,0,0,0,7
,4.3,0,0,,0.8,7.9,4.2,1.1,13.7,5.8,10.4,1.6,7.1,,0,,0,,2.6,6.5,16.5,2.8,1.9,0.6,15.5
Listeriosis,0,0,0,,0,0,1,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0
,0,1.4,0.5,,0,1.3,2.1,0.6,0,0,0,0,0.6,,0,,1.2,,0,0,0,0.2,0,1.2,1.9
Malaria,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,1,0,0,0
,0.7,1.4,1.9,,1.3,1.3,0,0,0,0,1.4,4.7,0,,2.3,,1.6,,0,0.8,0,0.9,0,1.8,1
Measles,0,0,0,,0,0,0,0,0,0,0,0,1,,1,,0,,0,0,0,0,0,0,0
,0,0.9,1.6,,0.3,0.3,0,0,0,0,1.4,1.6,7.7,,5.3,,0.8,,2.6,6.5,16.5,1.2,3.8,0,7.7
Meningococcal,0,2,4,,4,0,0,2,2,1,0,1,2,,2,,1,,0,0,0,4,0,1,0
disease5,,,,,,,,,,,,,,,,,,,,,,,,,
,18.6,11.2,15.2,,24.2,10.1,21.9,20.2,15.9,6.8,12.5,23.6,5.8,,9.1,,7.7,,5.2,0.8,0,6.8,1.9,14.1,8.7
Mumps,0,0,0,,1,0,0,0,0,0,0,2,0,,1,,0,,0,0,0,0,0,0,0
,3.6,0.5,0,,0.5,0.3,0,0,2.3,0,2.1,9.4,1.9,,2.3,,3.3,,0,2.4,0,1.9,0,2.9,0
Paratyphoid,0,0,0,,1,0,0,1,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0
,0.7,1.2,1.1,,0.8,0.6,0,0.6,0,0,0.7,0,0,,0,,0.4,,0,0,0,0.9,0,0,0
Pertussis,1,5,4,,7,27,4,7,4,2,9,0,5,,2,,3,,0,11,1,23,1,56,10
,39.2,19.3,15.5,,14.4,49.1,29.2,33.7,38.7,9.7,43.9,1.6,12.3,,13.7,,11.4,,0,43.3,9.9,28.1,66.3,83.2,30
Rheumatic fever,1,0,0,,0,0,0,1,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0
,7.1,1.6,6.8,,13.3,2.2,1,3.9,9.1,0,4.2,1.6,0,,3,,1.2,,0,0,0,0,0,0,0
Rickettsial disease,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0
,0,0,0,,0.3,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0
Rubella,0,0,0,,0,0,0,1,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0
,1.4,0.2,0.3,,0.3,0,1,1.1,0,0,2.8,1.6,0.6,,0.8,,1.2,,2.6,1.6,9.9,0.5,0,1.2,0
Salmonellosis,1,8,9,,6,12,2,5,0,6,3,1,2,,4,,3,,2,1,2,6,0,1,0
,25,21.6,32.9,,34.6,38.1,26,31.4,29.6,30.1,50.8,28.3,14.2,,21.2,,31.7,,31.4,35.9,19.8,34.7,68.2,43.9,43.5
SARS,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0
,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0
Shigellosis,0,0,1,,2,1,0,2,0,0,0,0,0,,0,,3,,0,0,0,1,0,0,0
,1.4,3.3,6.5,,8.5,1.6,1,1.7,0,0,0,3.1,0,,0.8,,3.7,,2.6,0.8,3.3,1.6,0,1.8,1
Tetanus,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0
,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0
Tuberculosis,0,4,2,,4,5,0,0,0,0,1,0,1,,1,,7,,0,0,0,0,0,2,0
,5.7,14.2,18.2,,17.6,9.8,7.3,6.7,2.3,12.6,17.4,4.7,6.5,,12.9,,18.7,,7.9,3.3,0,4.2,1.9,5.9,2.9
Typhoid,0,0,2,,3,0,0,0,0,0,0,0,0,,0,,0,,0,1,0,0,0,0,0
,0,0.5,1.9,,2.9,0.6,0,0.6,0,0,0.7,0,0,,0,,0.8,,0,0.8,0,0,0,0,0
VTEC / STEC,0,0,0,,0,4,0,2,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0
,2.1,1.2,0.8,,1.6,7.2,3.1,5.1,2.3,8.7,0.7,0,1.3,,0,,0.8,,0,4.1,0,2.6,1.9,3.5,1
Yersiniosis,0,6,7,,3,3,0,0,1,0,2,0,2,,2,,4,,0,0,3,4,0,1,0
,2.1,19.3,18.2,,8.8,14.5,10.4,9.5,22.8,4.9,17.4,7.9,7.7,,19,,18.3,,15.7,8.2,46.3,13.8,15.2,8.8,5.8
1 Current rate is based on the cumulative total for the 12 months up to and including June 2004,,,,,,,,,,,,,,,expressed as cases per 100 000,,,,,,,,,,
2 These data are provisional,,,,,,,,,,,,,,,,,,,,,,,,,
"3 AIDS data is reported for the greater Auckland and Wellington areas, rather than by District Health Board",,,,,,,,,,,,,,,,,,,,,,,,,
4 Further data are available from the local medical officer of health,,,,,,,,,,,,,,,,,,,,,,,,,
5 These totals and rates are derived from the EpiSurv report date as oppoosed to the earliest available date used in the meningococcal disease section.,,,,,,,,,,,,,,,,,,,,,,,,,
