Surveillance data by District Health Board - June 2006,,,,,,,,,,,,,,,,,,,,Cases this month,,,,,,,,Current 12-month,,rate1,
,,,,,,,,,,"Cases for June 2006, 2 and current rate 1,2 by District Health Board 3,4",,,,,,,,,,,,,,,,,,,,,
Disease,,Northland,Waitemata,Auckland,,,Counties Manukau,Waikato,Lakes,Bay of Plenty,,,Tairawhiti,Taranaki,,Hawke's Bay,,Whanganui,MidCentral,,Hutt,,Capital and Coast,,Wairarapa,Nelson Marlborough,West Coast,Canterbury,South Conterbury,Otago,Southland
AIDS3,,0,,,2,,,0,0,0,,,0,0,,0,,0,0,,,0,,,0,0,0,0,0,0,0
,,0.7,,0.9,,,,0.6,1,0,,,0,0,1.4,,0,,0,1.3,,,,,0,0.8,1.3,4.4,0,0,1
Campylobacteriosis,,25,192,157,,,133,88,41,47,,,4,26,,44,,17,33,,54,,142,,14,26,5,122,19,66,28
,,250.5,480.3,451.4,,,370.1,411.7,449,351.9,,,195.7,506.6,,377.5,,319.1,220,,470.2,,589.3,,246.1,343.7,307.3,519.3,653.6,528.9,471.3
Cryptosporidiosis,,1,2,6,,,0,3,0,1,,,0,0,,1,,0,2,,7,,3,,0,0,0,2,0,0,0
,,16.4,7.7,9.8,,,8,35.3,36.5,20.2,,,20.5,18.4,,28.6,,33,25.8,,15.9,,24.4,,39.3,22.9,76,24.1,94.7,25.2,34.8
Dengue fever,,0,0,0,,,0,0,0,0,,,0,0,,0,,0,0,,0,,1,,0,1,0,0,0,0,0
,,0,0.5,0.5,,,0.5,0,0,0,,,0,0,,0,,0,0,,0.8,,2.4,,0,0.8,0,0,0,1.2,1
Gastroenteritis,,0,4,7,,,8,1,0,0,,,0,1,,0,,9,1,,3,,4,,0,3,0,12,0,1,0
,,0.7,16.3,21.5,,,13,16.4,10.4,7.9,,,0,4.9,,9.1,,77,111,,19.7,,27.7,,5.2,18.8,9.9,24.1,3.8,10.5,25.2
Giardiasis,,2,6,16,,,12,9,5,9,,,0,0,,4,,6,1,,0,,9,,2,7,0,6,2,4,1
,,35,27.5,41.3,,,30.9,38.1,37.5,38.7,,,31.9,8.7,,38.3,,23.6,31.6,,22,,50.4,,20.9,37.6,13.2,29.7,24.6,25.2,30
H. influenzae,,0,0,1,,,0,0,1,0,,,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,1
type b disease,,0,0.2,0.3,,,0.3,0.3,1,1.7,,,0,0,,0,,0,0,,0,,0.4,,0,0,0,0.5,1.9,0,1
Hepatitis A,,1,1,0,,,5,0,0,0,,,0,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0
,,3.6,2.8,2.4,,,8.5,2.2,2.1,0.6,,,0,1,,0,,4.7,1.3,,1.5,,1.6,,0,0,0,9.1,0,0.6,0
Hepatitis B,,0,0,0,,,3,0,0,0,,,0,0,,0,,0,0,,0,,1,,0,0,0,3,0,0,0
,,0.7,1.9,3,,,4,0.3,1,1.7,,,0,0,,0.7,,1.6,0.6,,0,,1.2,,2.6,0,0,4.4,0,1.8,1
Hepatitis C,,1,0,0,,,0,0,0,0,,,0,0,,1,,0,0,,0,,1,,0,0,0,2,0,0,0
