,,,,,,,,,,Cases1 and current rate2 for June 2007 by District Health Board3,,,,,,,,,,,,,,,,
Disease,,,Northland,Waitemata,Auckland,Counties Manukau,Waikato,,Lakes,,Bay of Plenty,Tairawhiti,Taranaki,Hawke's Bay,Whanganui,MidCentral,Hutt Valley,Capital and Coast,Wairarapa,Nelson Marlborough,West Coast,Canterbury,,South Canterbury,Otago,Southland
Campylobacteriosis,Cases,,20,97,89,67,70,,17,,28,0,39,40,17,25,33,68,5,32,4,110,,8,43,10
,Rate,,237.9,419.5,383.7,315.5,348.7,,320.9,,316,148.3,460.3,327.4,362.3,245.6,388,431,214.2,308,272,424.4,,472,402.9,292.7
Cryptosporidiosis,Cases,,0,5,5,2,6,,2,,2,0,0,1,0,2,3,12,2,2,0,3,,0,0,0
,Rate,,16.7,15.6,11.6,12.9,46.4,,20.7,,18.6,4.5,18.1,21.3,38.6,45.9,49.9,30.1,71.4,18.3,32.8,17.6,,65.3,21.9,28.4
Dengue fever,Cases,,0,1,2,0,0,,0,,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,0
,Rate,,0.7,3.8,6,7.2,1.5,,0,,2.5,0,1.9,0.7,1.6,0,0,1.4,2.5,2.9,3.3,0.6,,0,0,0
Gastroenteritis,Cases,,0,5,4,3,2,,2,,1,0,0,4,0,0,2,5,0,0,0,9,,0,0,0
,Rate,,2.7,15.6,18.8,11.8,11.1,,10.8,,3.5,0,5.7,11.3,9.7,50.8,21,21.5,12.7,5.1,19.7,28,,9.3,12.6,10.1
Giardiasis,Cases,,1,16,9,10,10,,2,,3,1,1,1,2,1,1,10,0,8,2,9,,1,3,4
,Rate,,51.5,28.5,40.9,22.4,40.6,,36.4,,31.7,27,8.6,27.9,27.4,20.8,28.2,39.8,38.2,61.4,22.9,26.6,,28,36.1,36.6
Haemophilus influenzae,Cases,,0,2,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
type b,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rate,,0,0.6,0,0.2,0.3,,0,,0.5,0,0,2,0,0.6,0,0,0,0,0,0,,0,0,0
Hepatitis A,Cases,,0,0,0,0,0,,0,,0,0,0,2,0,0,0,0,0,0,0,0,,0,0,0
