,,,,,,,,,Cases_ and current rate_ for June 2009 by District Health Board_,,,,,,,,,,,,,,,
Disease,,Northland,Waitemata,Auckland,ManukauCounties,Waikato,,Lakes,,PlentyofBay,Tairawhiti,Taranaki,BayHawke's,Whanganui,MidCentral,ValleyHutt,CoastandCapital,Wairarapa,MarlboroughNelson,CoastWest,Canterbury,CanterburySouth,Otago,Southland
Campylobacteriosis,Cases,10,64,43,44,26,,8,,10,2,6,19,9,12,23,45,0,11,4,35,10,12,4
,Rate,147.4,174.2,171.9,141.7,176.9,,163.5,,137.8,61,206.1,195,181.6,146.9,234,231.7,156,162.9,135.9,119.6,242.3,138.8,157
Cryptosporidiosis,Cases,1,11,4,3,4,,0,,0,1,1,2,0,1,2,28,1,0,0,7,1,0,0
,Rate,20.7,8.6,9.4,7.4,31.7,,19.7,,12.7,13.1,26,25.4,22.1,21.9,13.4,25.7,50.3,18.4,52.5,28.6,99.5,23.5,50.5
Dengue fever,Cases,1,4,4,6,1,,0,,1,0,1,0,1,0,0,2,0,0,0,2,0,0,0
,Rate,2.6,4.2,7.5,11.6,1.7,,1,,3.4,4.4,0.9,3.3,3.2,2.4,1.4,4.9,2.5,0.7,3.1,3,0,0.5,0.9
Gastroenteritis,Cases,0,9,8,5,1,,0,,2,0,0,0,5,6,4,3,0,0,1,1,0,0,0
,Rate,3.2,21.1,21.9,13.5,7.9,,6.9,,9.2,4.4,0.9,3.3,30,61.9,31,25.3,5,2.9,21.6,16.3,14.5,4.8,0.9
Giardiasis,Cases,5,14,20,14,18,,6,,3,1,7,10,0,3,1,14,1,2,2,17,1,7,7
,Rate,31.7,32.5,57.7,44.1,38.7,,64,,27.3,24,28.8,44.4,23.7,8.5,28.9,62.6,30.2,38.3,55.6,36.9,30.7,31.5,54.1
Haemophilus,Cases,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
influenzae type b,Rate,0.6,0.4,0,0.2,0.3,,0,,0.5,0,0,0,0,0,0.7,0,0,0,0,0.2,0,0,0
Hazardous substances,Cases,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
injury,Rate,0,0.6,0.5,0,0.8,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0
Hepatitis A,Cases,0,2,0,0,1,,0,,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,Rate,3.2,1.3,2.1,1.3,0.3,,2,,1.5,0,1.9,2.6,14.2,11.5,2.1,1.4,0,0,0,0.8,0,0,0
Hepatitis B,Cases,0,3,2,0,0,,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,1.3,3,0.8,0,,1,,1,0,1.9,0,0,1.2,0,0,2.5,0.7,0,1.4,0,0,0.9
Hepatitis C,Cases,0,0,0,1,0,,0,,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
,Rate,0,0.4,0.9,0.8,0.3,,2,,1,0,5.6,0,0,0.6,0.7,1.4,2.5,0,0,1.2,0,0.5,0
",QYDVLYH",Cases,3,10,5,6,18,,2,,7,0,3,8,3,0,1,5,1,5,1,0,2,1,0
SQHXPRFRFFDO,,,,,,,,,,,,,,,,,,,,,,,,
