,,,,,,,Cases_ and current rate_ for June 2012 by District Health Board_,,,,,,,,,,,,,,
Disease,,Northland,Waitemata,Auckland,ManukauCounties,Waikato,Lakes,PlentyofBay,Tairawhiti,Taranaki,BayHawke's,Whanganui,MidCentral,ValleyHutt,CoastandCapital,Wairarapa,MarlboroughNelson,CoastWest,Canterbury,CanterburySouth,Southern
Campylobacteriosis,Cases,12,50,19,30,18,9,8,0,8,12,4,9,12,25,2,13,4,62,9,35
,Rate,156.8,159.6,124.6,107.4,198.8,155.3,134.5,130.9,183.9,222.7,145.9,134.2,156.4,182.2,229.2,189.4,212.4,218,271.4,215.4
Cryptosporidiosis,Cases,2,1,2,1,4,0,3,0,0,3,0,0,1,17,0,2,0,1,0,1
,Rate,19.6,8.1,6.6,8.2,35.9,19.4,9.4,4.3,16.4,14.1,9.5,15.4,22.1,25.5,34.5,11.4,15.2,11.5,53.2,21.5
Dengue fever,Cases,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0
,Rate,0,1.6,3.1,1.6,0.5,1,1.4,2.1,0,0,0,4.2,0.7,2.4,0,0,3,0,0,1
Gastroenteritis,Cases,1,11,2,2,7,0,8,0,1,1,0,2,3,8,0,0,1,3,0,0
,Rate,0.6,13.9,16.6,7.6,10.9,13.6,22.2,4.3,11.8,1.9,17.4,50.5,29.1,29.9,2.5,6.4,3,9.4,1.8,2.9
Giardiasis,Cases,2,15,14,6,19,5,9,0,4,4,0,1,5,6,0,3,2,18,0,17
,Rate,34.1,41.6,55.2,28.8,45.7,48.5,53.8,17.2,32.8,39.2,12.7,22,27.7,52.9,46.8,66.5,51.6,36.2,47.9,37.5
Haemophilus,Cases,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
influenzae type b,,,,,,,,,,,,,,,,,,,,,
,Rate,0.6,0,0,0,0.3,1,0.5,0,0,0,0,0,0,0,0,0,0,0.2,1.8,0
Hazardous substances,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
injury,,,,,,,,,,,,,,,,,,,,,
,Rate,0,0.2,1.3,0.2,0.3,0,0.5,0,2.7,0,0,0,0,0,0,0,0,0,0,0
Hepatitis A,Cases,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,Rate,0.6,5.9,3.9,3,0.5,0,0.9,0,0,1.3,0,0,0.7,1,0,1.4,0,0.2,0,0
Hepatitis B,Cases,1,1,2,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,1.9,0.7,0.9,1.4,0.5,4.9,2.4,4.3,0.9,1.3,0,1.8,1.4,0,0,1.4,0,0.2,0,0.3
Hepatitis C,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
,Rate,0,0,0.7,0.4,0,0,0,0,0.9,1.3,0,0,0,0.7,0,2.1,0,1.4,3.5,4.2
Invasive pneumococcal,Cases,1,6,5,8,2,1,7,0,2,1,0,0,2,2,1,4,0,5,1,4
disease_,,,,,,,,,,,,,,,,,,,,,
,Rate,15.2,10.6,13.1,15.2,11.1,22.3,16.5,6.4,8.2,14.1,3.2,10.7,11.8,8.1,22.2,12.2,0,10.1,16,9.8
Lead absorption,Cases,0,9,5,0,1,0,1,0,0,0,0,0,1,3,1,0,1,1,2,0
,Rate,0.6,6,14.5,6.8,2.4,3.9,2.4,10.7,2.7,4.5,19,4.8,11.8,6.1,7.4,3.6,9.1,2.6,10.6,4.2
Legionellosis,Cases,1,3,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,4,1,2
