,,,,,,,,,,,,,Cases_ and current rate_ for June 2013 by District Health Board_,,,,,,,,,,,,,,
Disease,,,Northland,,Waitemata,,Auckland,ManukauCounties,,Waikato,,Lakes,,PlentyofBay,Tairawhiti,Taranaki,BayHawke's,Whanganui,MidCentral,ValleyHutt,CoastandCapital,Wairarapa,MarlboroughNelson,CoastWest,Canterbury,CanterburySouth,Southern
Campylobacteriosis,Cases,,10,,43,,36,40,,41,,5,,14,8,10,20,6,17,9,27,3,12,3,40,9,21
,Rate,,130.8,,125.2,,109.9,89.9,,182.8,,148.4,,109.8,117.5,194,171.8,145.6,130,101.2,126.8,132.9,154.9,200.6,171.2,284.7,183.2
Cryptosporidiosis,Cases,,0,,21,,8,1,,0,,3,,0,0,7,3,0,0,4,4,0,0,0,15,0,1
,Rate,,18.3,,16.3,,11.5,9.6,,74.5,,62.1,,18.9,6.4,41.7,99.7,19.2,23,32.6,44.7,41.8,14.9,27.4,24.4,84.9,31.5
Dengue fever,Cases,,0,,0,,2,0,,0,,0,,0,0,0,0,0,0,0,2,0,0,0,0,0,0
,Rate,,2.5,,2.9,,5.6,2.2,,0.3,,1.9,,2.4,2.1,0,0.6,0,0.6,1.4,3,2.5,0.7,0,1.6,1.8,1
Gastroenteritis,Cases,,2,,3,,4,1,,0,,2,,1,0,1,0,0,6,1,7,1,0,0,0,0,0
,Rate,,1.9,,12.3,,21.9,9.1,,10,,15.5,,10.8,6.4,6.3,0.6,20.8,73.3,38.8,29.3,19.7,10,6.1,7.6,1.8,5.2
Giardiasis,Cases,,2,,11,,26,15,,14,,7,,7,0,11,5,0,1,3,8,2,7,0,11,2,6
,Rate,,29.1,,28.9,,48.7,32.5,,42.9,,59.2,,39.1,10.7,36.3,39.3,22.4,13,34.7,50.8,41.8,44.8,33.4,37.6,31.8,37.4
Haemophilus influenzae,Cases,,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0
type b,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rate,,0,,0.4,,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0.2,1.8,0.3
Hepatitis A,Cases,,0,,1,,0,1,,0,,0,,0,0,0,0,0,0,0,0,1,1,0,5,0,0
,Rate,,0.6,,1.8,,0.9,2.2,,0.5,,0,,0.9,2.1,0.9,0.6,1.6,0.6,0,1.3,2.5,0.7,0,4.8,0,0
Hepatitis B,Cases,,0,,0,,0,1,,0,,0,,2,0,0,0,1,0,0,0,0,0,0,1,0,1
,Rate,,0,,0.7,,0.6,1,,1.1,,0,,1.4,2.1,0.9,0,1.6,0,0.7,0.7,0,0.7,0,1.8,0,0.6
Hepatitis C,Cases,,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,2,0,1
,Rate,,0,,0,,0.2,0,,0.3,,0,,0,0,3.6,0,0,0,0.7,0.7,0,1.4,0,2.2,1.8,2.6
Invasive pneumococcal,Cases,,1,,6,,0,5,,5,,0,,3,2,2,1,0,0,0,1,0,5,1,3,1,5
disease,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rate,,15.2,,7.8,,7.6,13.4,,10.8,,17.5,,17.4,12.8,12.7,15.4,11.2,6.5,5.5,10.1,24.6,14.2,9.1,8.2,15.9,12.7
Lead absorption,Cases,,0,,1,,7,2,,0,,5,,4,0,0,1,0,2,0,0,0,1,0,1,1,0
,Rate,,3.2,,6,,9.3,7.1,,3.2,,6.8,,5.7,6.4,6.3,1.9,6.4,11.2,3.5,3.4,17.2,2.8,6.1,2.4,3.5,4.2
Legionellosis,Cases,,0,,1,,1,3,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,,3.2,,2,,2.8,3.7,,2.2,,0,,2.4,0,0,1.3,1.6,1.2,1.4,1.3,0,1.4,6.1,9.6,3.5,2.3
Leptospirosis,Cases,,0,,0,,0,0,,0,,0,,1,0,0,2,0,0,0,0,0,0,2,0,1,1
,Rate,,2.5,,0,,0.2,0.4,,5.1,,0,,4.2,4.3,5.4,7.7,6.4,4.1,0,0,7.4,2.8,12.2,1.2,7.1,1.9
Listeriosis,Cases,,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,,0,,0.7,,0.4,0.8,,0.5,,0,,3.3,0,0.9,0,0,0.6,0,0.3,2.5,0.7,0,0.2,1.8,0
Malaria,Cases,,0,,1,,2,0,,1,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Rate,,1.3,,1.4,,2.2,1.6,,0.3,,0,,0,0,0,1.9,0,3,0.7,0.7,0,0.7,0,1.4,0,0
Measles,Cases,,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Rate,,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0,0.3,0,0,0,0.2,0,0
Meningococcal disease,Cases,,1,,1,,1,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Rate,,3.2,,1.3,,1.9,0.8,,1.4,,5.8,,0.9,4.3,2.7,0.6,1.6,3,1.4,2.4,0,1.4,0,2.4,5.3,1.9
Mumps,Cases,,0,,1,,0,0,,1,,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,0
,Rate,,3.2,,0.7,,0.6,0.2,,0.8,,1,,1.4,2.1,0,0,0,0,1.4,0.3,4.9,2.8,0,0.8,1.8,0.3
Paratyphoid fever,Cases,,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,,0,,0.9,,1.7,0.4,,0,,0,,0.5,0,0,0,0,0,0.7,0,0,0.7,0,0.4,1.8,1.3
Pertussis,Cases,,8,,12,,20,5,,12,,2,,4,1,4,6,1,2,8,18,2,55,0,27,2,22
,Rate,,82.8,,53.5,,65.6,53.9,,131.5,,66.9,,112.2,220.1,149.6,45,241.6,147.2,192.7,168.2,297.8,350.4,261.4,199.6,125.6,111.4
Q fever,Cases,,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rheumatic fever,Cases,,1,,1,,2,1,,1,,1,,0,0,1,0,0,0,1,0,0,0,0,0,0,0
,Rate,,10.7,,1.4,,2.6,10.6,,4.3,,6.8,,2.4,10.7,1.8,1.9,1.6,0.6,2.1,2.4,0,0,0,0.4,0,0.3
Rickettsial disease,Cases,,0,,1,,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,,1.3,,0.4,,0,0,,0.5,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubella,Cases,,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,Rate,,0,,0,,0,0,,0,,0,,0,0,0,0,0,0,0,0.3,0,0,0,0.4,0,0
Salmonellosis,Cases,,2,,5,,5,5,,8,,1,,3,0,1,1,0,1,2,3,0,2,0,5,0,8
,Rate,,25.3,,20.2,,28.8,15.2,,22.1,,20.4,,19.8,23.5,29,22.5,16,20.1,17.3,16.8,22.2,43.4,33.4,26.4,42.4,57.8
Shigellosis,Cases,,1,,0,,7,2,,0,,0,,0,0,1,0,0,0,0,0,0,1,0,1,0,3
,Rate,,3.2,,4.2,,6.9,7.9,,1.1,,1,,0.5,0,3.6,0,0,1.2,2.8,1.7,0,1.4,0,1.2,0,3.2
Tuberculosis disease,Cases,,0,,2,,6,2,,2,,1,,1,0,0,0,0,2,1,3,0,1,0,1,1,0
,Rate,,2.5,,6.7,,12.8,9.6,,5.9,,6.8,,5.2,4.3,5.4,9,1.6,4.1,9.7,9.8,0,7.1,0,3.4,1.8,1.9
Typhoid fever,Cases,,0,,1,,2,2,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,,0,,1.1,,3.5,4.5,,0.3,,1,,0.5,0,0,0,0,0,2.1,0.7,0,0,0,1,0,0.6
VTEC/STEC infection,Cases,,1,,3,,1,2,,0,,0,,1,0,0,0,0,0,0,0,0,0,0,3,0,4
,Rate,,8.2,,5.4,,3.9,4.7,,13.2,,2.9,,4.7,2.1,10,0.6,0,1.8,0.7,1,2.5,2.1,9.1,5.8,5.3,4.5
Yersiniosis,Cases,,0,,2,,4,3,,2,,1,,2,1,1,0,0,0,1,3,0,0,0,9,1,0
,Rate,,5.7,,10.3,,11.7,8.3,,10,,17.5,,14.1,8.5,15.4,7.7,1.6,2.4,12.5,18.8,9.8,2.1,3,14.2,26.5,5.5
