,,,,,,,,Cases_ and current rate_ for June 2014 by District Health Board_,,,,,,,,,,,,,,
Disease,,Northland,Waitemata,Auckland,ManukauCounties,,Waikato,Lakes,PlentyofBay,Tairawhiti,Taranaki,BayHawke's,Whanganui,MidCentral,ValleyHutt,CoastandCapital,Wairarapa,MarlboroughNelson,CoastWest,Canterbury,CanterburySouth,Southern
Campylobacteriosis,Cases,12,46,29,37,,24,7,17,6,7,18,5,18,11,41,6,14,1,60,13,18
,Rate,140.5,135,128.2,108.6,,203.1,161.2,148.4,182,202.3,211,174.7,178,115.4,158,182,157.1,214.4,170.9,356.1,195.6
Cryptosporidiosis,Cases,1,1,2,0,,1,0,1,0,0,0,1,2,0,2,1,2,1,5,0,2
,Rate,18.3,13,12.8,7,,29.5,17.5,10.3,8.6,19.9,19.3,19.2,18.9,6.3,9.3,22.1,12,27.6,31.3,59.6,23.2
Dengue fever,Cases,0,1,6,2,,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
,Rate,2.5,5,10.5,7.8,,1.6,3.9,4.2,0,0.9,2.6,1.6,0.6,3.5,2.3,0,2.1,0,1.8,1.8,1.3
Gastroenteritis,Cases,0,6,7,4,,3,0,1,0,0,0,6,5,1,4,1,1,1,0,0,2
,Rate,4.4,13.9,16,6.8,,7,7.8,13.6,0,7.2,0,36.9,58.3,42.4,33.3,12.3,1.4,30.6,6.7,1.8,5.2
Giardiasis,Cases,8,26,23,11,,18,6,8,3,3,7,0,1,4,13,0,4,0,10,2,10
,Rate,36.5,41.1,41.9,33.4,,46.4,64.1,51.2,42.8,38.8,54,24,21.8,27.8,47.7,41.8,37.5,21.4,35.1,36.8,36.8
Haemophilus,Cases,0,1,0,0,,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
influenzae type b,,,,,,,,,,,,,,,,,,,,,,
,Rate,0,0.2,0.2,0,,0.3,0,0.5,0,0,0,0,0,0,0.7,0,0,3.1,0,0,0
Hepatitis A,Cases,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Rate,2.5,2.7,1.7,2.3,,0.3,0,0.5,0,0,5.1,0,0.6,4.9,0.7,0,0,0,4.9,1.8,1
Hepatitis B,Cases,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
,Rate,1.9,0.4,0.4,0.6,,1.3,0,0.9,0,0,0.6,3.2,0,0,0,0,0,3.1,1.4,0,1.3
Hepatitis C,Cases,0,0,0,0,,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,2
,Rate,3.1,0.2,1.1,0.2,,0,0,0,0,3.6,0.6,4.8,0,2.8,0.3,0,1.4,0,1.6,0,2.9
Invasive pneumococcal,Cases,2,5,7,7,,10,2,3,0,0,1,2,2,2,1,1,0,0,9,1,0
disease,,,,,,,,,,,,,,,,,,,,,,
,Rate,10.7,9.1,11.1,14,,12.3,28.2,15.5,4.3,7.2,14.2,20.8,13,9.7,8.7,17.2,7.1,15.3,9.7,7,6.8
Legionellosis,Cases,2,1,0,0,,2,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
,Rate,5.7,4.4,1.3,2.5,,1.1,1,0.9,0,2.7,1.3,0,4.1,0.7,0.3,0,0.7,21.4,10.4,3.5,2.6
Leptospirosis,Cases,2,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1
,Rate,2.5,0.4,0.2,0.4,,0.5,3.9,1.4,0,4.5,10.9,0,3.5,0,0,7.4,0.7,3.1,0.8,7,0.6
Listeriosis,Cases,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0.6,0.4,1.1,1,,0,0,0.9,0,0.9,0,0,1.8,0.7,0.7,0,0,0,0,0,0.6
Malaria,Cases,0,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0.5,2.1,1,,0.5,0,0.9,0,0.9,0,1.6,0.6,2.1,0.3,0,0.7,0,0.4,0,0
Measles,Cases,0,0,0,2,,98,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0
,Rate,0,11.2,4.5,5.8,,27.6,13.6,0.5,0,0.9,3.2,0,0,0.7,1.3,0,0,0,0.2,0,0
Meningococcal disease,Cases,0,0,0,0,,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1
,Rate,1.9,0.9,1.1,2.3,,1.1,1.9,2.3,0,0.9,2.6,1.6,1.2,0.7,1,0,0.7,0,0.6,3.5,2.3
Mumps,Cases,0,0,0,1,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Rate,0.6,0.5,0.9,0.4,,0,0,0.5,2.1,0,0.6,0,0,0.7,0,0,0,0,0,1.8,0
Paratyphoid fever,Cases,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0.9,0.9,0.6,,0.3,0,0,0,0,0.6,0,0,0.7,0.3,0,0,0,0.8,0,1
Pertussis,Cases,4,16,6,10,,10,2,0,0,6,7,0,0,2,17,0,4,0,5,0,4
,Rate,60.5,38.1,29.5,51.4,,46.1,18.4,25.8,45,25.3,23.8,11.2,8.3,38.9,46.7,19.7,208.8,147,64,31.6,33.9
Q fever,Cases,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rheumatic fever,Cases,1,2,2,6,,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0
,Rate,10.7,1.2,5.1,16.1,,5.9,4.9,6.6,25.7,0,3.9,1.6,0.6,4.9,3.7,0,0,3.1,1.8,0,0
Rickettsial disease,Cases,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0,0.2,0.2,,0.5,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0
Rubella,Cases,0,0,0,0,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,Rate,0,0,0,0.2,,0,0,0,0,0.9,0,0,0.6,0,0.3,0,0,0,0,0,0
Salmonellosis,Cases,1,12,12,6,,5,2,2,2,1,2,0,2,0,1,0,2,1,8,2,11
,Rate,25.2,22.6,25,15.1,,21.7,18.4,24,38.5,10.8,16.1,11.2,16.5,16,18.3,22.1,22.6,27.6,28.8,33.3,45.8
Shigellosis,Cases,0,2,2,1,,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
,Rate,0.6,2.5,6.6,4.8,,2.7,1,0,0,1.8,0.6,0,0.6,0,3.3,0,0.7,0,1,7,4.5
Tuberculosis disease,Cases,0,0,4,5,,2,0,2,0,0,1,0,1,1,1,0,0,0,2,0,0
,Rate,1.9,4.3,12.4,13.6,,7.2,2.9,3.8,4.3,3.6,2.6,4.8,5.9,2.8,14,7.4,2.8,6.1,4.7,3.5,2.3
Typhoid fever,Cases,0,0,1,0,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
,Rate,0.6,0.7,2.4,1.9,,0,0,1.9,0,0,0,0,0,0,1,0,0.7,0,0.6,0,0.3
VTEC/STEC infection,Cases,1,1,2,1,,2,0,1,0,0,1,0,2,1,0,0,0,0,1,1,0
,Rate,6.9,2.7,3.4,3.1,,8.6,1.9,6.1,0,4.5,1.9,3.2,1.8,1.4,1.7,0,1.4,0,5.9,10.5,2.9
Yersiniosis,Cases,1,2,5,0,,5,0,0,0,1,0,0,1,2,4,0,0,0,6,1,3
