Notifiable Disease Surveillance Data by District Health Board June 2015,,,,,,,,,,,,,,,,,,,,,
Cases_ and current rate_ for June 2015 by District Health Board_,,,,,,,,,,,,,,,,,,,,,
Disease,,Northland,Waitemata,Auckland,Counties Manukau,Waikato,Lakes,Bay of Plenty,Tairawhiti,Taranaki,Hawke's Bay,Whanganui,MidCentral,Hutt Valley,Capital and Coast,Wairarapa,Nelson Marlborough,West Coast,Canterbury,South Canterbury,Southern
Campylobacteriosis,Cases,12,64,38,26,34,12,15,4,11,13,2,9,8,28,6,10,2,41,3,34
,Rate,150.0,138.6,121.8,97.0,183.6,178.6,142.6,129.5,169.6,168.1,122.2,122.7,158.3,173.9,149.5,125.8,198.2,125.8,173.8,163.6
Cryptosporidiosis,Cases,1,2,1,3,3,2,1,0,0,0,0,0,0,2,1,1,0,3,0,2
,Rate,16.9,11.4,7.2,8.4,21.4,13.5,9.2,8.5,16.5,11.9,11.3,11.7,4.9,12.1,28.0,9.8,27.4,15.0,31.0,20.3
Dengue fever,Cases,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
,Rate,0.0,4.4,9.5,6.3,1.6,1.0,4.1,0.0,0.0,0.0,0.0,0.0,1.4,4.7,0.0,0.0,3.0,2.3,1.7,1.6
Gastroenteritis,Cases,1,5,11,3,0,0,0,0,0,0,0,9,3,5,0,0,0,4,0,1
,Rate,1.8,10.3,18.9,8.2,0.8,14.5,4.6,4.2,3.5,0.0,40.2,66.9,57.9,67.1,7.0,3.5,15.2,6.8,0.0,2.3
Giardiasis,Cases,2,14,16,6,12,2,10,0,2,9,2,1,3,9,4,1,0,11,1,9
,Rate,30.7,33.9,34.5,33.0,36.8,58.9,31.3,57.3,16.5,43.3,38.6,15.9,23.7,48.2,51.4,45.4,24.4,30.7,22.4,27.4
Haemophilus influenzae type b,Cases,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
,Rate,0.0,0.2,0.2,0.4,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.2,0.0,0.3
Hepatitis A,Cases,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
,Rate,2.4,0.7,2.8,2.4,0.5,1.0,1.4,2.1,0.0,0.6,3.2,2.3,1.4,0.3,0.0,0.0,0.0,0.8,1.7,0.6
Hepatitis B,Cases,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0.0,1.1,1.7,0.6,0.3,1.0,1.4,4.2,0.9,0.6,0.0,0.6,1.4,0.7,0.0,2.1,0.0,0.6,0.0,0.3
Hepatitis C,Cases,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0
,Rate,1.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.6,0.6,1.6,0.0,2.8,1.7,0.0,0.7,0.0,2.1,1.7,1.0
Invasive pneumococcal disease,Cases,4,4,7,6,5,3,5,1,0,2,0,1,4,2,0,1,1,3,0,1
,Rate,16.9,7.1,10.6,15.3,10.2,23.2,13.8,17.0,11.3,8.8,14.5,11.2,9.8,10.8,11.7,3.5,3.0,5.6,3.4,10.3
Legionellosis,Cases,0,2,1,0,1,0,3,0,0,2,0,0,0,2,0,0,1,4,0,1
,Rate,6.0,5.2,1.5,3.9,1.0,1.0,6.4,0.0,0.9,1.3,0.0,7.0,1.4,1.7,2.3,3.5,15.2,8.6,1.7,2.9
Leptospirosis,Cases,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
,Rate,3.6,0.4,0.0,0.6,2.6,1.0,1.8,0.0,2.6,6.9,11.3,1.8,1.4,0.0,9.3,4.2,6.1,1.2,3.4,2.9
Listeriosis,Cases,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0.0,0.4,0.8,0.4,0.3,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.6,0.0,0.3
Malaria,Cases,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0.6,1.2,1.9,1.4,0.5,1.0,0.9,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.3
Measles,Cases,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
,Rate,3.6,0.0,0.0,0.4,7.6,0.0,1.8,4.2,2.6,5.0,0.0,2.3,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.0
