Disease,,Cases_ and current rate_ for June 2016 by District Health Board_,,,,,,,,,,,,,,,,,,,
,,Northland,Waitemata,Auckland,Counties Manukau,Waikato,Lakes,Bay of Plenty,Tairawhiti,Taranaki,Hawke's Bay,Whanganui,MidCentral,Hutt Valley,Capital and Coast,Wairarapa,Nelson Marlborough,West Coast,Canterbury,South Canterbury,Southern
Campylobacteriosis,Cases,6,37,32,26,23,9,21,6,5,16,8,20,7,33,4,9,5,34,4,29
,Rate,164,141.9,107.8,95.3,159.2,143.1,103.4,130.8,195,175.7,140.6,130.2,125.7,120.9,145.8,138.8,223.2,137.4,235.5,168.5
Cryptosporidiosis,Cases,6,11,4,6,5,0,0,0,1,0,0,0,2,1,1,2,0,6,1,2
,Rate,31.5,22.4,17.1,18,33,10.5,6.8,16.9,19,17.4,19.2,27.3,8.3,8.3,32.4,9,12.2,15.8,25.6,20.4
Dengue fever,Cases,0,1,0,2,5,0,3,0,1,1,0,1,0,1,1,0,0,5,0,0
,Rate,0.6,3.5,4.9,6.9,2.8,1,2.7,8.4,1.7,3.1,0,1.7,2.1,6.3,2.3,3.5,0,2.9,0,2.2
Gastroenteritis,Cases,0,8,14,3,1,1,2,0,0,1,1,1,5,1,0,1,0,1,0,2
,Rate,0,10.4,23.9,8.8,3.1,16.2,12.6,4.2,7.8,1.9,17.6,27.3,19.4,24.2,20.8,3.5,9.2,5.3,1.7,6.1
Giardiasis,Cases,5,18,4,10,9,5,9,7,3,8,0,1,6,12,1,2,0,13,0,8
,Rate,39.2,34.6,41,36.6,29.4,59.2,33.9,128.7,31.9,52.3,19.2,16.9,20.1,48.5,30.1,37.3,24.5,30.6,25.6,23.2
Haemophilus influenzae type b,Cases,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis A,Cases,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Rate,2.4,1.6,1.2,1.5,0,0,0.9,0,0,0,0,1.2,0.7,0.7,0,1.4,0,0.6,0,0.6
Hepatitis B,Cases,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
,Rate,1.2,0.5,1.6,0.4,0.5,1.9,0.5,0,2.6,0.6,0,0.6,0.7,1,0,0,0,0.6,0,0.3
Hepatitis C,Cases,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
,Rate,3,0.3,0.2,0,0,0,0,0,3.5,1.2,0,0,1.4,0.7,2.3,4.1,3.1,1.5,5.1,1.3
Invasive pneumococcal disease,Cases,3,7,4,7,3,2,5,1,0,0,0,1,0,2,1,1,0,5,1,5
,Rate,19,6.4,9.2,13.6,9.7,21,14,21.1,5.2,9.3,8,8.1,8.3,10,13.9,6.9,9.2,8.4,11.9,9.9
Legionellosis,Cases,3,1,1,5,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0
,Rate,14.9,8.3,5.5,6.3,5.9,2.9,13.1,0,3.5,5.6,1.6,9.9,4.9,4,9.3,4.1,6.1,6.3,5.1,3.8
Leptospirosis,Cases,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
,Rate,5.3,0.2,0,1,3.3,1.9,1.8,0,4.3,6.2,1.6,1.7,0,0.3,0,0.7,6.1,0.4,1.7,2.2
Listeriosis,Cases,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,Rate,0,0.9,0.8,1.2,0.5,0,2.3,0,0,0.6,1.6,0,2.1,0.7,2.3,2.1,0,0.4,0,0.6
Malaria,Cases,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0.6,1,2.2,1.2,0.3,0,0.9,0,0,1.2,0,0.6,1.4,0.3,2.3,1.4,0,0.4,0,0.3
Measles,Cases,0,0,0,1,22,0,0,0,0,0,1,8,0,2,0,0,0,0,0,0
,Rate,3.6,0.2,0.2,1.2,14.1,0,0,0,0,0,1.6,12.2,0,0.7,0,2.1,0,0.2,0,0
Meningococcal disease,Cases,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
,Rate,3,1.9,0.2,1.9,1,1,1.8,2.1,1.7,1.9,1.6,1.2,0,2.7,2.3,0.7,3.1,0.6,1.7,3.2
Mumps,Cases,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,1.8,0.3,0,0.4,0,0,0,2.1,1.7,0.6,0,0.6,0,0.3,0,0,0,0,0,0.3
Paratyphoid fever,Cases,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0.5,1.2,1.2,0,1,0.5,0,0,1.9,0,0,0,1,4.6,0.7,0,1,0,0.6
Pertussis,Cases,0,3,3,5,6,6,4,0,7,0,0,0,2,2,0,6,0,39,1,1
,Rate,8.9,17.5,14.9,19.7,34.6,15.3,13.1,2.1,22.4,10.6,41.5,11.6,15.3,24.2,4.6,52.5,0,68.4,10.2,50.6
Q fever,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rheumatic fever_,Cases,1,1,3,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Rate,1.8,2.1,5.1,9,1.8,6.7,2.7,4.2,0.9,2.5,0,2.3,2.1,1.3,0,0,0,0.6,0,0.6
Rickettsial disease,Cases,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0.6,1.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubella,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0.2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.2,0,0
Salmonellosis,Cases,3,11,5,8,8,0,5,0,2,1,1,3,2,1,1,2,0,8,2,5
,Rate,20.8,21,21.6,12.1,19.7,20,17.2,124.5,20.7,19.3,6.4,25.6,20.8,19.6,25.5,18.6,24.5,25.7,54.6,44.9
Shigellosis,Cases,0,4,3,3,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
,Rate,1.2,4,4.7,5.8,2,1,1.4,0,0,0.6,0,0.6,1.4,2.3,0,0.7,0,2.3,0,1.9
Tuberculosis disease,Cases,0,5,6,5,4,0,2,0,0,2,0,0,0,2,0,0,0,2,0,1
,Rate,1.2,6.4,11,12.3,7.7,4.8,4.5,2.1,3.5,9.3,4.8,4.1,2.8,6.6,0,2.1,3.1,6.7,0,2.5
Typhoid fever,Cases,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
,Rate,0,0.3,3.1,4.6,1,0,1.8,0,0,0,0,0.6,0,0.3,0,1.4,0,0,0,0.3
Viral Haemorrhagic Fever,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rate,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTEC/STEC infection,Cases,1,3,2,4,2,2,1,0,0,1,0,1,0,0,0,1,0,1,0,1
